proof,verify,nizk
6.1546183,11.482102,17.6367203
6.678003,11.487728,18.165731
6.156806,11.479864,17.63667
6.132639,11.467313,17.599952000000002
6.115347,11.467313,17.58266
6.133108,11.470385,17.603493
6.1353483,11.475333,17.6106813
6.137848,11.4670515,17.604899500000002
6.113994,11.479552,17.593546
6.6209188,11.502207,18.1231258
6.141025,11.475904,17.616929
6.134566,11.472157,17.606723
6.099619,11.490021,17.58964
6.103994,11.470697,17.574691
6.128785,11.46726,17.596045
6.132535,11.473353,17.605888
6.1051397,11.488666,17.5938057
6.570815,11.510176,18.080990999999997
6.147535,11.473249,17.620784
6.122066,11.471687,17.593753
6.1208158,11.473197,17.5940128
6.110087,11.469552,17.579639
6.128994,11.466791,17.595785
6.17217,11.472677,17.644847
6.124671,11.467573,17.592244
6.575867,11.520124,18.095990999999998
6.129931,11.474395,17.604326
6.140504,11.473718,17.614221999999998
6.127691,11.466531,17.594222000000002
6.103056,11.481843,17.584899
6.108473,11.469812,17.578285
6.134097,11.467416,17.601513
6.1332116,11.466009,17.5992206
6.613471,11.506009,18.11948
6.133941,11.473405,17.607346
6.128421,11.473978,17.602399000000002
6.1249833,11.474864,17.5998473
6.117692,11.471739,17.589430999999998
6.1111293,11.463926,17.575055300000002
6.116233,11.464343,17.580576
6.135244,11.471479,17.606723000000002
6.609304,11.488197,18.097501
6.1225867,11.490228,17.6128147
6.1161814,11.477833,17.5940144
6.122692,11.474448,17.59714
6.132327,11.4800205,17.6123475
6.111546,11.486321,17.597867
6.1027946,11.466636,17.5694306
6.129722,11.471114,17.600836
6.614722,11.492937,18.107658999999998
6.146077,11.467675,17.613751999999998
6.1111293,11.4697075,17.5808368
6.122692,11.474708,17.5974
6.126337,11.471635,17.597972
6.1479,11.470228,17.618128
6.113109,11.481739,17.594848
6.1590967,11.489395,17.6484917
6.629669,11.498875,18.128543999999998
6.155087,11.488249,17.643335999999998
6.149827,11.495593,17.64542
6.127899,11.473354,17.601253
6.151701,11.463614,17.615315
6.136337,11.469343,17.60568
6.164514,11.487052,17.651566
6.118629,11.470697,17.589326
6.6150336,11.505332,18.1203656
6.141441,11.471739,17.61318
6.1336813,11.475073,17.6087543
6.112431,11.4853325,17.5977635
6.110869,11.469293,17.580162
6.132587,11.470802,17.603389
6.131233,11.464916,17.596149
6.1121697,11.487468,17.5996377
6.5780554,11.513769,18.0918244
6.148994,11.480072,17.629066
6.124931,11.471634,17.596565
6.128056,11.497572,17.625628
6.116806,11.471218,17.588024
6.1330557,11.464499,17.5975547
6.133524,11.466531,17.600055
6.128889,11.471479,17.600368
6.5685763,11.531791,18.100367300000002
6.1441493,11.476947,17.621096299999998
6.129879,11.46752,17.597399
6.129827,11.473614,17.603441
6.112639,11.487103,17.599742
6.106598,11.463614,17.570211999999998
6.1268063,11.463717,17.5905233
6.138941,11.469447,17.608388
6.5741477,11.520228,18.0943757
6.128525,11.539968,17.668492999999998
6.1417007,11.474501,17.6162017
6.130712,11.473093,17.603805
6.130191,11.471999,17.60219
6.111025,11.463979,17.575004
6.1340456,11.464187,17.598232600000003
6.136494,11.466791,17.603285
6.618627,11.492885,18.111511999999998
6.123993,11.492625,17.616618
6.117222,11.472729,17.589951
6.127536,11.471844,17.59938
6.128941,11.476166,17.605107
6.108264,11.48351,17.591774
6.1067023,11.501114,17.6078163
6.139983,11.468926,17.608909
6.621231,11.495593,18.116824
6.143785,11.470124,17.613909
6.117066,11.465749,17.582815
6.123525,11.486321,17.609846
6.146337,11.486739,17.633076
6.128889,12.039498,18.168387
6.8657103,13.253818,20.1195283
7.005241,11.5469475,18.5521885
6.6053977,11.51002,18.115417700000002
6.15941,11.478614,17.638024
6.17415,11.476895,17.651045
6.190399,11.486896,17.677295
6.125347,11.484864,17.610211
6.127535,11.481739,17.609274
6.146441,11.478145,17.624586
6.140451,11.474811,17.615262
6.589408,11.534239,18.123647
6.1372743,11.469396,17.606670299999998
6.1355557,11.467989,17.6035447
6.127744,11.468458,17.596201999999998
6.12915,11.46976,17.59891
6.111806,11.475073,17.586879
6.118629,11.471167,17.589796
6.1268578,11.478926,17.605783799999998
6.613315,11.4983015,18.1116165
6.116963,11.485384,17.602347
6.105348,11.469186,17.574534
6.1244097,11.465646,17.5900557
6.136494,11.466114,17.602608
6.112588,11.484918,17.597506
6.1140976,11.485594,17.5996916
6.131545,11.47726,17.608805
6.612222,11.502937,18.115159
6.136858,11.474603,17.611461
6.117744,11.471791,17.589534999999998
6.123941,11.478197,17.602138
6.133473,11.4758005,17.6092735
6.1355042,11.476895,17.6123992
6.107847,11.511114,17.618961
6.1340456,11.467468,17.6015136
6.625867,11.492519,18.118386
6.1441493,11.46877,17.612919299999998
6.107118,11.486271,17.593389000000002
6.113212,11.472521,17.585733
6.140504,11.475904,17.616408
6.133316,11.471635,17.604951
6.104983,11.483874,17.588857
6.109254,11.4749155,17.5841695
6.617742,11.495697,18.113439
6.1424823,11.466478,17.6089603
6.129775,11.48601,17.615785000000002
6.1149306,11.476635,17.5915656
6.1276393,11.477624,17.6052633
6.124514,11.472624,17.597138
6.133837,11.472834,17.606671
6.110243,11.486062,17.596305
6.57769,11.50304,18.08073
6.1502953,11.488251,17.6385463
6.171232,11.46804,17.639272
6.120765,11.488823,17.609588
6.128421,11.478874,17.607295
6.138525,11.473874,17.612399
6.1780043,11.488458,17.6664623
6.155035,11.484083,17.639118
6.590033,11.527936,18.117969000000002
6.1668057,11.462728,17.6295337
6.153941,11.470594,17.624535
6.141389,11.469812,17.611201
6.116493,11.48028,17.596773
6.111233,11.476062,17.587295
6.129462,11.473199,17.602660999999998
6.128837,11.473561,17.602398
6.591336,11.521687,18.113023
6.136338,11.467,17.603338
6.1286807,11.468405,17.5970857
6.133577,11.470801,17.604378
6.131702,11.463666,17.595368
6.1076922,11.472781,17.5804732
6.134358,11.510176,17.644534
6.133994,11.475645,17.609639
6.618367,11.501896,18.120263
6.1147747,11.487052,17.6018267
6.106389,11.468979,17.575367999999997
6.129983,11.466218,17.596201
6.1227427,11.477312,17.6000547
6.111754,11.501948,17.613702
6.1129003,11.478197,17.5910973
6.126337,11.476634,17.602971
6.6059723,11.502521,18.1084933
6.135972,11.473614,17.609586
6.119254,11.465696,17.58495
6.131337,11.479083,17.610419999999998
6.1346703,11.472728,17.6073983
6.1242537,11.469082,17.5933357
6.108941,11.475489,17.584429999999998
6.122067,11.474031,17.596098
6.615658,11.496842,18.112499999999997
6.141806,11.471219,17.613025
6.102848,11.48851,17.591358
6.1178484,11.4704895,17.5883379
6.127952,11.468146,17.596098
6.13566,11.467625,17.603285
6.110764,11.549864,17.660628
6.128056,11.475072,17.603128
6.624773,11.505905,18.130678
6.149775,11.4756975,17.6254725
6.127587,11.479135,17.606721999999998
6.1085253,11.469083,17.5776083
6.1252427,11.477156,17.602398700000002
6.1303477,11.478146,17.6084937
6.1302958,11.469083,17.5993788
6.1073794,11.469239,17.5766184
6.592482,11.528979,18.121461
6.149045,11.475904,17.624949
6.136858,11.466531,17.603389
6.112692,11.489291,17.601983
6.109931,11.476583,17.586514
6.135399,11.475905,17.611303999999997
6.130869,11.528093,17.658962
6.1634717,11.52648,17.689951699999998
6.592013,11.504239,18.096252
6.175712,11.489395,17.665107
6.1592007,11.464864,17.6240647
6.1451907,11.476426,17.6216167
6.12191,11.486947,17.608857
6.1170144,11.504812,17.6218264
6.138264,11.472156,17.61042
6.134774,11.466114,17.600887999999998
6.5828466,11.529187,18.1120336
6.132796,11.4749155,17.6077115
6.1280036,11.480436,17.6084396
6.131233,11.473093,17.604326
6.131702,11.472364,17.604066
6.117119,11.465541,17.58266
6.130504,11.469447,17.599951
6.132483,11.467885,17.600368
6.611545,11.492105,18.103650000000002
6.124462,11.491948,17.616410000000002
6.119462,11.470228,17.58969
6.134097,11.469707,17.603804
6.130139,11.474968,17.605107
6.109879,11.482625,17.592504
6.114515,11.476009,17.590524
6.133837,11.467208,17.601045
6.610346,11.494239,18.104585
6.121546,11.495333,17.616879
6.113316,11.472416,17.585732
6.130713,11.470073,17.600786
6.127951,11.473041,17.600992
6.126129,11.473093,17.599222
6.097691,11.470229,17.56792
6.132951,11.475489,17.60844
6.611909,11.507207,18.119115999999998
6.150088,11.464707,17.614795
6.108108,11.488563,17.596671
6.10816,11.475541,17.583700999999998
6.1312847,11.472676,17.603960700000002
6.1276393,11.471845,17.5994843
6.10816,11.519187,17.627347
6.114827,11.479968,17.594794999999998
6.6148252,11.489082,18.103907200000002
6.1529512,11.4732485,17.6261997
6.135347,11.466166,17.601513
6.1113367,11.473824,17.5851607
6.130556,11.475333,17.605888999999998
6.123785,11.473561,17.597346
6.130972,11.47528,17.606251999999998
6.106962,11.465333,17.572295
6.595294,11.501791,18.097085
6.149046,11.470854,17.6199
6.134566,11.467155,17.601721
6.111233,11.484967,17.5962
6.108993,11.476218,17.585211
6.146805,12.582047,18.728852
6.895606,13.320537,20.216143
6.440555,11.516062,17.956617
6.64071,11.487155,18.127865
6.123108,11.507,17.630108
6.1423273,11.474759,17.6170863
6.183629,11.500125,17.683754
6.162119,11.473511,17.63563
6.137535,11.472572,17.610107
6.1183677,11.475021,17.5933887
6.149827,11.469916,17.619743
6.6788883,11.499291,18.1781793
6.148785,11.465696,17.614480999999998
6.1129518,11.500906,17.6138578
6.1172743,11.473041,17.5903153
6.1304,11.470697,17.601097
6.1300874,11.478457,17.6085444
6.10191,11.483406,17.585316
6.114671,11.46752,17.582191
6.618575,11.491218,18.109793
6.156442,11.468041,17.624482999999998
6.136546,11.463717,17.600263
6.113994,11.47278,17.586774
6.122744,11.470385,17.593129
6.128108,11.506269,17.634377
6.1380563,11.502728,17.6407843
6.116441,11.478457,17.594898
6.634357,11.499864,18.134221
6.146441,11.465749,17.612190000000002
6.135244,11.464447,17.599691
6.114254,11.4825735,17.5968275
6.112847,11.477365,17.590212
6.1284733,11.4731455,17.601618799999997
6.127067,11.480593,17.607660000000003
6.109149,11.488041,17.59719
6.5809193,11.514864,18.0957833
6.150816,11.465072,17.615887999999998
