int_mut,nizk,nizk_mut
204.94565,52.859703,136.78476
208.01064,54.48069,145.12465
199.57068,52.338703,132.02785
196.56772,54.51469,139.88472
180.54082,52.213703,143.68864
211.6836,55.30169,135.12079
198.5737,59.346664,139.67473
204.87265,66.40863,142.49268
189.82474,70.6926,131.81386
204.11865,66.59663,139.11575
204.90466,52.708706,142.93466
197.14871,52.10471,131.22386
200.79466,52.717705,176.87813
202.10167,52.423706,124.78797
216.40457,52.449703,135.1808
199.8167,61.363655,141.84169
199.2107,63.025646,127.410934
207.62764,57.852673,141.33769
202.84167,52.622707,149.96655
189.91475,56.64568,121.925026
190.25575,54.93769,121.09704
209.31963,52.08971,121.886024
219.74155,58.28167,120.43605
213.8006,59.796665,119.28006
222.72153,63.671642,121.36203
204.07965,60.883656,142.74669
193.27274,57.14568,143.16368
197.0547,58.092674,132.32185
245.33838,65.25564,134.50082
225.47852,69.04362,144.02068
198.3857,59.731663,122.21302
190.46275,60.945656,119.63506
200.18367,56.48468,120.03505
194.25272,60.289658,120.86204
195.5697,51.961708,164.58932
200.14868,52.545704,166.4443
213.6926,54.143696,124.67098
211.1786,52.273705,123.32
185.24777,58.124672,120.29706
200.01767,54.740692,119.873055
198.9937,52.373703,119.75906
200.51968,53.4627,121.37603
201.61469,52.693703,142.64868
236.16246,51.77171,137.94676
220.54956,52.6337,136.77379
197.3537,53.1977,132.62686
208.23865,51.576706,143.03568
200.26169,56.96868,129.21492
209.89262,59.08067,136.59578
210.99661,59.774662,142.9117
195.46672,65.70263,129.69492
200.39868,64.31764,137.6128
213.15662,63.540646,141.14774
202.24968,57.685677,135.76381
194.42873,54.63769,136.99979
199.8457,57.294674,142.3287
213.87561,62.218647,172.24823
206.17766,61.92065,173.84819
205.01166,54.82269,117.91509
195.04373,55.104687,120.33506
212.5966,84.12353,121.59204
197.32172,64.92663,122.67902
199.9437,55.92569,122.72102
200.7867,55.139687,124.50499
211.81161,54.357697,138.63977
197.8267,56.178684,131.55388
203.25267,55.077686,137.33778
196.63371,54.362694,141.65572
214.0226,52.8637,129.5469
194.34471,52.14171,138.47678
200.1527,57.692677,142.28271
205.49165,54.65469,129.55692
242.62141,55.196686,136.7688
221.74454,61.97765,144.11569
202.08467,65.192635,129.57191
196.41772,59.829662,137.12779
227.2975,59.764664,141.74873
196.62872,57.619675,131.02188
199.0507,57.154682,132.98586
199.94969,57.069683,178.19614
214.1776,57.12568,129.81091
206.35365,61.992653,142.01172
190.13075,60.07366,140.05374
189.29076,60.029663,134.12685
213.3116,60.021664,131.86789
209.03963,57.387676,138.55777
197.14871,57.22268,133.41786
247.18239,58.304672,136.18481
227.84651,57.372673,140.23175
219.91757,68.06962,129.73592
208.35963,59.967663,142.47571
197.5737,54.896694,142.51472
200.00969,55.307686,129.19693
212.6316,56.397682,136.01183
209.14163,59.83966,135.24084
202.03967,56.211685,129.48293
197.37271,54.358696,137.9448
211.78963,55.491688,151.05658
207.77965,54.53369,120.27007
199.6787,54.94669,122.39404
199.70569,53.058704,159.12245
261.54428,49.921722,149.79459
209.03163,60.16466,121.05705
199.73169,59.494663,143.1577
204.19467,50.100723,120.21507
207.93365,51.95671,121.877045
209.84563,55.215687,121.582054
220.15756,57.404675,122.50404
221.69456,53.107704,119.219086
205.84665,59.847664,122.30704
199.9267,59.314663,141.22073
190.56375,71.000595,142.21773
206.31566,73.097595,132.28088
208.10065,64.78564,138.02379
194.77373,57.33468,142.48271
212.9306,55.474686,131.4089
200.27068,50.25672,127.76096
207.19466,50.469715,152.16856
218.35658,52.2527,120.86507
205.88066,60.48666,121.26107
210.11862,58.117672,120.58807
205.37967,56.57768,122.44004
208.61165,50.540714,120.73407
201.16768,50.024723,168.2763
212.8726,52.336704,172.11124
210.34662,57.68768,122.87604
196.64972,56.947678,120.73707
200.7117,62.096653,122.70504
216.99757,59.824665,121.59706
203.65266,62.85865,121.47307
255.53033,59.865665,122.57805
212.69661,60.010666,146.33865
214.99858,60.35466,128.44894
206.91365,57.11868,135.24484
202.11269,57.209682,149.9086
187.67278,58.08367,120.84308
207.61565,56.94268,120.61008
201.32469,59.411663,122.92704
200.5157,57.668674,121.645065
211.6876,52.367706,114.067184
206.61565,52.1607,121.30807
201.33769,52.187706,145.75067
199.82271,52.644703,145.08769
199.6807,52.18671,130.91792
207.24365,52.3217,136.64583
220.01257,57.13368,144.0287
201.85869,52.741703,175.1282
210.19264,57.007683,180.19713
221.93256,52.6407,121.22107
214.6656,52.367706,123.58503
201.11569,53.008705,125.605
193.72673,54.155697,120.038086
217.46059,59.503662,120.81608
202.00468,60.64566,145.24269
196.74771,56.414684,126.09699
202.71869,55.31569,136.50883
215.07861,55.39969,143.09373
208.10265,54.724693,131.82791
191.63176,57.410675,136.14084
229.4255,55.59369,142.78572
224.17854,52.520702,131.8079
217.34859,53.5767,146.39569
220.20757,55.222687,137.9938
206.93466,55.235687,137.41882
198.4667,75.746574,131.74391
199.9727,68.12262,138.1868
205.36166,60.008663,128.47496
218.72658,61.188656,133.93187
210.73662,54.162697,183.70909
194.21974,54.436695,136.69484
198.40971,52.250706,145.93568
209.64163,52.632706,129.55495
200.82469,51.951706,137.9768
201.19469,52.544704,148.05365
215.2836,52.142708,129.54494
209.58563,53.023705,137.51782
204.60667,54.96369,142.38072
200.6957,56.49568,133.30888
201.22668,52.277702,136.77383
211.46764,50.65872,143.47772
208.79065,54.196697,131.44893
210.49963,58.706673,134.67487
219.21457,57.436676,144.03271
209.15366,51.775707,131.65392
200.5097,55.921684,135.47685
191.76675,56.05868,144.31871
207.06465,52.09671,131.51892
214.5936,52.604706,130.44093
229.27951,52.381706,142.24875
212.21863,53.149704,174.73323
205.73068,53.1137,173.79526
216.87961,66.389626,120.4561
202.7627,52.471706,120.44209
213.59161,55.313686,126.99999
212.43063,52.451702,119.47911
218.31258,55.82769,121.46709
207.57666,59.967663,121.317085
199.7037,58.90867,142.65173
206.98567,58.848667,129.23296
216.2556,60.024662,135.96385
205.37067,59.831665,150.02264
200.75871,55.679688,130.87393
256.02234,58.90567,132.4339
233.24948,57.400677,141.74376
206.80766,61.214657,129.05197
203.95169,59.83966,138.06183
197.52072,59.857662,149.53064
226.04753,57.647675,120.70809
191.19775,55.33569,120.3421
202.49269,58.59367,122.675064
199.9747,52.038708,120.108116
217.60358,51.961708,119.46612
201.95268,52.499702,167.10637
201.56268,52.554703,187.44704
207.57066,51.844707,116.646164
218.01558,55.44569,125.12803
243.11542,56.420685,122.014084
236.57347,54.837692,122.87807
205.38167,56.53868,124.380035
210.15263,71.2306,128.21898
228.10352,60.177666,136.43385
226.97154,50.728718,133.2899
205.23167,52.582703,135.52386
198.65071,52.623703,142.17377
193.45074,56.90668,132.48392
205.54466,58.83867,134.08989
209.38664,62.48365,142.08276
202.4017,51.064713,129.15997
200.26271,50.243717,136.55185
214.2346,52.087708,145.24272
225.57054,51.73971,132.9669
201.48671,52.239704,134.96588
195.82474,51.568714,145.65771
214.9786,56.647682,131.05894
208.10765,52.264706,184.22911
193.71774,55.567688,126.41801
205.87466,58.90167,130.81995
213.90462,57.810677,146.03572
206.52068,61.009655,131.83293
199.8237,58.45867,133.19292
200.57571,57.196682,143.78375
213.82062,58.883667,131.63693
209.97064,57.014683,133.6499
203.52669,53.639698,144.59073
201.31871,52.10371,131.91093
245.26543,51.810707,134.1649
215.24362,50.275723,143.42876
200.4447,50.89971,131.48494
206.28267,52.324703,134.54189
237.02147,53.973698,141.85078
213.75063,52.17571,128.76797
209.33765,52.255707,136.30188
209.54564,50.07672,147.0317
215.8996,51.174713,132.69493
217.40561,52.632706,134.85889
226.01454,52.304703,189.82004
215.4866,57.545677,146.33171
206.87166,59.14167,122.109085
202.6167,57.15068,117.671165
241.79544,57.766678,120.94811
208.40167,58.307674,122.19608
198.21872,58.365673,144.15875
199.56172,67.41362,131.53094
219.91858,74.10458,133.61491
203.32568,60.59266,141.68279
191.13878,61.840652,133.78992
200.8487,59.725666,133.56691
220.16858,58.353672,144.19275
205.72067,57.21568,130.94696
199.5917,58.133675,134.52689
199.00371,57.03668,149.78368
215.98462,66.61562,120.75211
207.84865,74.37559,121.366104
245.33841,63.510643,125.030045
222.78357,58.45367,120.593124
225.81755,52.502705,120.11613
211.51663,52.532703,120.76412
202.5397,52.022705,142.59679
199.90071,52.580704,193.28099
214.27463,52.492702,156.87155
206.47766,52.364704,120.61312
199.08873,53.843697,122.43108
201.05171,52.328705,122.65508
214.56462,52.3487,117.62117
208.08865,55.838688,142.1818
209.03265,61.017654,124.860054
212.01865,56.88868,120.59812
276.20023,57.24368,122.98909
209.99065,55.69369,121.41911
202.8637,62.186646,121.60412
206.75267,52.6957,124.00507
217.9726,54.462696,142.32779
199.7977,53.265697,136.51689
203.03268,52.292706,137.87885
199.68672,53.915695,126.283035
213.05862,53.908695,143.65077
228.26353,52.303707,136.16689
209.10765,65.626625,135.5649
198.57472,59.05967,142.75179
200.49771,52.522705,131.39996
214.41862,55.598686,149.52368
281.61816,52.481705,185.15813
214.49962,55.14369,150.81966
196.66673,57.521675,120.85312
229.16452,60.01166,121.34712
215.7946,61.459656,125.36706
207.31767,57.32168,121.50812
210.93965,59.294666,120.35812
224.17757,57.595676,121.24112
212.87064,59.376663,142.4478
210.03764,52.3767,142.7078
209.84764,52.7947,131.33197
216.96161,55.896687,133.04294
205.83267,55.91669,145.55673
202.1667,52.603703,128.74101
222.32957,55.297688,137.84785
220.69058,55.94769,140.76282
205.04167,54.086697,133.27794
198.43872,55.14369,132.59294
194.31674,53.9097,145.33374
223.20857,52.599705,131.81897
204.61469,53.937695,135.0069
199.01872,52.361706,197.43695
200.66171,57.09568,155.70758
214.12462,61.728653,121.36112
206.35568,78.57756,121.91212
207.11766,67.34262,123.79709
201.8207,55.76569,121.69612
215.7006,62.40865,143.74977
231.51553,66.10763,132.27596
207.77267,66.097626,141.3108
202.8117,56.626682,129.97798
199.41373,55.86369,136.7089
215.8166,50.040718,146.46774
208.29468,50.01772,132.17296
218.1656,53.894695,136.0069
212.20665,52.450706,141.4618
218.3686,58.07267,132.05896
210.00865,59.409668,136.9339
203.84468,56.63068,149.8167
215.6656,51.983707,120.09014
223.46356,53.064705,120.98413
214.38963,52.560707,121.791115
203.1127,51.228714,121.78212
206.96768,54.032696,123.190094
217.6196,55.108692,172.59435
205.45868,52.102707,165.13745
210.07166,52.286705,121.07914
200.0997,52.673706,123.620094
231.35551,53.078705,122.77611
209.03065,61.589653,121.44413
198.81671,58.015675,121.031136
199.87073,52.813705,124.165085
225.90755,59.595665,138.13885
222.73859,59.020668,130.18199
212.38364,56.99968,137.06589
199.23071,57.25368,147.37573
210.50365,56.94668,131.34097
248.20842,60.133667,140.41882
222.88356,57.991673,142.8408
204.5937,57.07968,130.12
212.15063,63.17065,138.17088
229.36554,72.07159,144.56877
217.4426,56.96968,128.32101
204.8697,76.82857,136.82289
210.41266,59.697666,146.85574
227.86053,63.817642,131.72897
213.36163,55.94169,183.62016
206.28668,55.02169,127.56704
206.16869,59.094666,130.705
222.67258,60.498657,141.57481
230.09554,60.225666,129.751
231.19553,52.345703,137.1659
212.76163,52.324703,150.99066
210.15767,52.277706,129.54001
213.93562,52.459705,133.73395
210.75865,51.997707,145.46576
219.39859,56.217686,129.00401
207.02467,60.684658,133.62294
223.05156,65.21063,140.08684
206.20369,52.317703,136.9359
207.54868,55.46969,130.01201
222.85257,56.604683,150.17668
225.20557,52.832703,134.82494
205.80568,52.366703,130.507
208.09366,57.08268,143.0808
208.05467,54.589695,135.88492
202.61472,51.59471,136.29091
209.78568,52.996704,186.11314
210.06265,53.1667,169.99939
220.59958,57.893673,132.48398
206.17668,57.31968,134.34496
203.09271,52.531704,141.87683
207.20569,53.955696,133.24496
216.68661,52.552704,133.42697
208.42867,50.98371,138.35088
207.77467,52.537704,132.48697
210.06967,54.70769,137.76189
214.63164,62.22465,142.9958
205.7797,62.42965,133.38695
245.37643,198.52687,136.8999
224.47957,480.0423,144.64178
209.34666,258.43954,131.58098
200.18172,213.8478,131.37799
211.02266,108.59239,149.32571
215.32062,243.20064,122.73313
214.06664,134.65424,121.304146
207.61267,73.740585,120.26616
201.49272,69.94061,119.163185
232.43352,91.94648,123.023125
203.28972,65.47063,124.100105
203.2657,63.21665,182.5502
210.20967,60.860657,127.538055
224.69856,63.10565,130.792
273.81125,71.7206,140.96384
219.4046,64.90864,136.80191
214.25363,63.668648,136.37993
235.6085,62.36465,136.74692
214.68764,69.79761,140.45386
209.39766,57.34668,129.39003
211.72066,60.10366,137.9589
230.23653,57.989677,142.81181
218.74762,59.898663,129.19403
207.21768,62.88065,137.5249
203.04572,57.640675,142.88483
225.00858,64.71564,130.71
214.18265,60.129665,129.61902
208.41867,60.163666,150.7827
205.64969,62.151653,120.71016
216.82362,60.77866,122.51013
205.11569,60.356667,123.59912
202.06772,59.87366,148.65472
212.41164,52.32671,319.68616
221.97359,55.31269,423.09457
210.78267,54.72169,5779.5674
207.07167,56.407684,6811.219
210.23067,56.250683,201.64198
222.0566,55.388687,155.84566
206.98769,53.1637,132.60301
