sis,nizk
140.98317,59.892666
126.01826,55.25769
123.225266,55.15869
213.33073,55.214687
206.23277,55.62269
179.40492,52.9187
134.4362,55.331688
155.62607,57.245674
135.62921,62.695644
144.07317,64.102646
131.20422,56.74468
126.341255,57.140675
130.03522,62.70565
129.97723,60.35366
133.19421,77.70456
140.99718,73.79358
135.8962,68.61961
134.0712,55.12269
137.1062,50.395718
131.4192,50.682713
171.72298,53.3287
136.3322,55.46669
175.65996,66.00263
133.6572,52.186707
132.99321,57.04568
141.18918,54.936687
126.302246,53.049698
129.54424,52.324703
152.3281,57.411674
157.80608,58.436672
166.19002,57.466675
133.56221,58.31267
141.66716,54.254696
124.911255,52.873703
128.24223,51.68271
126.666245,54.69369
147.54512,54.92169
130.52422,53.798695
129.66423,52.0847
162.57404,50.98671
137.97818,53.963696
142.86316,52.070705
127.78523,52.522705
129.70123,52.558704
130.20523,52.632706
191.66687,56.83268
170.011,59.959663
128.03624,57.10168
129.89423,59.545662
191.64384,52.8557
192.20287,57.450676
218.2527,52.380703
121.33628,53.3747
148.50513,52.601704
127.320244,53.313698
130.22922,55.040688
129.24623,57.477676
133.35822,53.0097
127.35024,63.197643
143.31615,52.291702
150.5491,52.656704
126.40825,53.584694
139.79417,56.919678
135.24721,59.820663
134.8222,61.824654
132.2642,60.058662
150.17412,55.51869
127.22625,80.676544
140.27216,68.715614
143.66214,60.532654
136.3922,53.027702
132.97722,52.6817
154.40208,54.222694
131.92122,52.319706
116.78931,52.673706
131.33722,53.2547
143.86115,51.976707
132.35422,51.95971
128.06924,53.375698
123.30927,52.407703
138.34618,54.93869
133.41422,58.179672
133.80522,57.669678
132.35721,57.551674
136.63918,65.70463
141.11517,60.21966
132.82321,63.62264
135.8422,63.66564
130.80821,61.928654
161.44905,55.33769
125.02326,50.529716
133.0222,51.785706
151.75711,60.814655
125.118256,62.02065
131.06223,58.805668
164.56804,55.457687
132.47922,51.82571
127.567245,50.01272
130.94923,52.791702
123.13527,52.271706
126.16025,54.056698
138.30217,57.410675
143.02115,60.619656
128.26524,57.180676
189.19688,63.26764
128.22824,59.50666
140.11417,59.758663
148.70311,57.000683
135.35219,60.23366
187.6349,57.069683
127.92024,57.07268
202.39981,59.822662
161.42305,59.566666
136.63121,57.26568
130.33623,56.235683
141.48216,59.34566
137.4442,57.396675
129.99223,56.86668
129.25023,58.97067
140.22218,90.43949
130.40022,69.86461
154.91708,57.50868
129.82324,51.90471
125.96226,51.50871
151.6701,51.86771
148.34213,52.042706
134.5462,51.78671
199.19482,68.368614
148.14612,60.15066
121.578285,52.04171
126.27426,52.1607
130.72322,51.967705
142.31816,52.565704
126.67126,56.58168
130.56422,58.902668
142.79016,57.766674
178.97095,61.544655
149.23712,59.225662
128.08125,53.633698
131.32922,51.421715
137.03719,51.96371
132.70921,50.72971
126.856255,51.996708
130.56822,51.762707
132.60521,53.2767
129.59023,52.5717
127.082245,52.866703
145.22414,53.2267
167.45702,52.080708
152.62509,52.026707
188.7649,55.720684
138.33818,59.15767
140.11917,60.052658
142.65016,56.853683
147.02213,62.58165
134.7682,53.828697
166.32903,55.96868
131.57722,52.501705
155.27809,51.98871
128.96524,51.83371
132.92221,53.656696
133.16821,51.69071
126.53026,51.88471
127.85324,56.385685
135.82219,66.83762
146.75214,54.65169
134.7892,54.447697
135.77818,54.48769
141.86917,61.116653
127.57325,57.284676
132.25822,56.92368
139.92618,59.738667
135.4852,56.40168
134.2162,65.38163
138.55717,70.8116
141.93716,66.763626
138.50719,56.169685
129.16223,53.0747
132.94623,51.888706
148.70311,51.80871
179.85693,52.306705
128.00024,52.3897
130.00824,51.888706
132.79022,51.886707
136.3642,59.115665
132.08023,53.865696
149.25212,52.05771
130.13823,57.68768
